建物名	住所	標高	構造	階数
ティープリモ権現町	権現町81	6	RC	5
宮崎観光ホテル東館	松山1丁目1-1	5.3	SRC	13
TYⅡマンション	江平中町1-10	5.5	RC	6
セ・ラ・ヴィ柳丸	柳丸町120	5.8	RC	7
コアマンション柳丸	柳丸町41	6.4	RC	9
県警職員宿舎吾妻職員宿舎	吾妻町90	4.6	RC	5
ル・グラン柳丸	柳丸町81-1	6	RC	11
グランピア大橋	大橋3丁目137-１	5.8	SRC	10
フローラルコート	祗園3丁目174	7.1	RC	4
アルカディア祇園	祇園1丁目76	7.6	RC	5
アドミラブール	和知川原3丁目105-1	6	RC	4
コーポ霧島	霧島2丁目152	6.6	RC	3
アムール霧島	霧島2丁目93	8.1	RC	3
UMK宮崎ビル	大橋3丁目101-１	5.9	SRC	10
サーパス中津瀬	中津瀬町85	6.4	RC	10
グランドヒルズ船塚	船塚2丁目3	8.2	RC	5
アルテール	和知川原2丁目137-1	7.5	RC	3
アスター丸山	丸山2丁目31	8	RC	3
宮崎グリーンホテル	大橋2丁目36-1	6.4	RC	8
宮崎銀行文化公園共同住宅Ａ棟	船塚3丁目170	8.6	RC	5
宮崎銀行文化公園共同住宅Ｂ棟	船塚3丁目171	8.6	RC	7
サーパス大橋	大橋3丁目107-1	5.3	RC	11
グランドゥールシュウ	和知川原1丁目71-2	7	RC	3
アンソレイエＡ棟	和知川1丁目35-2	7	RC	3
アンソレイエＢ棟	和知川原1丁目35-1	7	RC	3
祇園保育園	霧島2丁目216	6.5	RC	2
サーパス大橋第2	大橋3丁目165-1	5.5	RC	11
市営住宅鶴島団地1棟	鶴島3-91	5.2	RC	5
市営住宅小戸団地3棟	鶴島3-125	4.4	RC	5
県営住宅小戸4棟	鶴島3丁目159	4.4	RC	7
宮崎医療センター病院	高松町2-16	6	SRC	8
ロイヤル末広	末広2丁目35	6.8	RC	5
ＴＩＰマンション	橘通西1丁目5-30	6	RC	14
CalnaCourt	松橋1丁目16-11	5.1	RC	4
ジュネシス大島A	大島町平原966-1	6.3	RC	3
ジュネシス大島B	大島町平原966-1-2	6.3	RC	3
ジュネシス大島C	大島町平原989-1-1	6.3	RC	3
ジュネシス大島D	大島町平原989-1-2	6.3	RC	3
フラワーコーポ	東大宮2丁目1-23	6.5	RC	3
宮崎和裁会館	大島町東ノ前1143-1	6	RC	5
サンコート大島A	大島町平原977-1-1	6.3	RC	3
サンコート大島B	大島町平原977-1-2	6.3	RC	3
サンコート大島C	大島町平原980	6.3	RC	3
市営住宅北ノ原団地1棟	大島町北ノ原1011	9.9	RC	4
市営住宅南窪団地3棟	宮崎市大島町南窪874	11.3	RC	3
イオンモール宮崎	新別府町江口862-1	3.5	S	2
リベラル一ツ葉マンション	小戸町104-1	4.8	RC	11
サンジェルマンⅠ	新城町23-2	4.8	SRC	7
宮崎善仁会病院	新別府町江口950	3.4	RC	4
イルパラッソ曽師	吉村町曽師中甲3097-2	4.2	RC	3
小川コーポ101	吉村町下別府乙7-5	3.6	RC	4
小川コーポ102	吉村町下別府乙6-10	3.2	RC	3
清野ビル	日ノ出町46-1	3.2	RC	6
KIYONO第2ビル	吉村町下別府乙19	5.2	RC	3
清水ハイツ	一の宮町3	4.3	RC	4
押川マンション	一の宮町45-1	3.4	RC	4
岩切ハイツ101	日ノ出町33-2	3.4	RC	4
メゾン清水ハイツ	一の宮町14	4.4	RC	4
