建物名,住所,標高,構造,階数,lng,lat
ティープリモ権現町,権現町81,6.0,RC,5,131.4324719,31.9289597
宮崎観光ホテル東館,松山1丁目1-1,5.3,SRC,13,131.4267824,31.90568399999999
TYⅡマンション,江平中町1-10,5.5,RC,6,131.4280842,31.9207983
セ・ラ・ヴィ柳丸,柳丸町120,5.8,RC,7,131.4343179,31.9260813
コアマンション柳丸,柳丸町41,6.4,RC,9,131.4334293,31.9286876
県警職員宿舎吾妻職員宿舎,吾妻町90,4.6,RC,5,131.4330926,31.9043532
ル・グラン柳丸,柳丸町81-1,6.0,RC,11,131.431642,31.9263637
グランピア大橋,大橋3丁目137-１,5.8,SRC,10,131.4065244,31.92169209999999
フローラルコート,祗園3丁目174,7.1,RC,4,131.4122711,31.9357821
アルカディア祇園,祇園1丁目76,7.6,RC,5,131.4101931,31.9266522
アドミラブール,和知川原3丁目105-1,6.0,RC,4,131.4102525,31.9254562
コーポ霧島,霧島2丁目152,6.6,RC,3,131.4137044,31.9298406
アムール霧島,霧島2丁目93,8.1,RC,3,131.4136329,31.9293268
UMK宮崎ビル,大橋3丁目101-１,5.9,SRC,10,131.4088939,31.9206594
サーパス中津瀬,中津瀬町85,6.4,RC,10,131.4179708,31.9228777
グランドヒルズ船塚,船塚2丁目3,8.2,RC,5,131.4206619,31.9278001
アルテール,和知川原2丁目137-1,7.5,RC,3,131.4118385,31.9235429
アスター丸山,丸山2丁目31,8.0,RC,3,131.4221073,31.92777
宮崎グリーンホテル,大橋2丁目36-1,6.4,RC,8,131.4110722,31.9195229
宮崎銀行文化公園共同住宅Ａ棟,船塚3丁目170,8.6,RC,5,131.4194473,31.9322065
宮崎銀行文化公園共同住宅Ｂ棟,船塚3丁目171,8.6,RC,7,131.4195048,31.9324102
サーパス大橋,大橋3丁目107-1,5.3,RC,11,131.4095213,31.9203164
グランドゥールシュウ,和知川原1丁目71-2,7.0,RC,3,131.4138427,31.92372379999999
アンソレイエＡ棟,和知川1丁目35-2,7.0,RC,3,131.4105865,31.9240384
アンソレイエＢ棟,和知川原1丁目35-1,7.0,RC,3,131.4138297,31.9232616
祇園保育園,霧島2丁目216,6.5,RC,2,131.4127734,31.9308566
サーパス大橋第2,大橋3丁目165-1,5.5,RC,11,131.4089628,31.9216512
市営住宅鶴島団地1棟,鶴島3-91,5.2,RC,5,131.4090075,31.9129934
市営住宅小戸団地3棟,鶴島3-125,4.4,RC,5,131.4107926,31.9141713
県営住宅小戸4棟,鶴島3丁目159,4.4,RC,7,131.4097636,31.9147348
宮崎医療センター病院,高松町2-16,6.0,SRC,8,131.4189607,31.9138258
ロイヤル末広,末広2丁目35,6.8,RC,5,131.4140293,31.914143
ＴＩＰマンション,橘通西1丁目5-30,6.0,RC,14,131.4203026,31.9097087
CalnaCourt,松橋1丁目16-11,5.1,RC,4,131.4162967,31.9109206
ジュネシス大島A,大島町平原966-1,6.3,RC,3,131.4417556,31.9345638
ジュネシス大島B,大島町平原966-1-2,6.3,RC,3,131.4417556,31.9345638
ジュネシス大島C,大島町平原989-1-1,6.3,RC,3,131.443044,31.9343065
ジュネシス大島D,大島町平原989-1-2,6.3,RC,3,131.442998,31.934151
フラワーコーポ,東大宮2丁目1-23,6.5,RC,3,131.4340258,31.9469999
宮崎和裁会館,大島町東ノ前1143-1,6.0,RC,5,131.440522,31.938598
サンコート大島A,大島町平原977-1-1,6.3,RC,3,131.4418463,31.9350874
サンコート大島B,大島町平原977-1-2,6.3,RC,3,131.4418463,31.9350874
サンコート大島C,大島町平原980,6.3,RC,3,131.442209,31.9349547
市営住宅北ノ原団地1棟,大島町北ノ原1011,9.9,RC,4,131.4429277,31.9354676
市営住宅南窪団地3棟,宮崎市大島町南窪874,11.3,RC,3,131.445514,31.9334184
イオンモール宮崎,新別府町江口862-1,3.5,S,2,131.4564022,31.9226278
リベラル一ツ葉マンション,小戸町104-1,4.8,RC,11,131.4517484,31.9013352
サンジェルマンⅠ,新城町23-2,4.8,SRC,7,131.4410068,31.9256721
宮崎善仁会病院,新別府町江口950,3.4,RC,4,131.45324,31.9219594
イルパラッソ曽師,吉村町曽師中甲3097-2,4.2,RC,3,131.4403653,31.9083037
小川コーポ101,吉村町下別府乙7-5,3.6,RC,4,131.4475528,31.9094615
小川コーポ102,吉村町下別府乙6-10,3.2,RC,3,131.447336,31.909416
清野ビル,日ノ出町46-1,3.2,RC,6,131.448169,31.9071836
KIYONO第2ビル,吉村町下別府乙19,5.2,RC,3,131.4468814,31.9084878
清水ハイツ,一の宮町3,4.3,RC,4,131.4428737,31.9072259
押川マンション,一の宮町45-1,3.4,RC,4,131.4454794,31.9067595
岩切ハイツ101,日ノ出町33-2,3.4,RC,4,131.4476518,31.90600839999999
メゾン清水ハイツ,一の宮町14,4.4,RC,4,131.4433126,31.9069842
エアフォルク,日ノ出町141,2.6,RC,3,131.451024,31.90663499999999
シーガイア・コンベンションセンター,山崎町浜山,9.0,SRC,5,131.470105,31.960703
第一ビル管理,吉村町大町甲1990,5.9,RC,3,131.4418767,31.9151773
野中建設ビル,出来島町14-1,3.8,RC,5,131.4395155,31.9015431
野中マンション,出来島町193-5,3.8,RC,6,131.4385091,31.9011002
ユーミーハイツ,出来島町21,3.8,RC,4,131.4382132,31.90301729999999
第2ユーミーハイツ,出来島町18-2,3.7,RC,4,131.4385081,31.902897
コーポ雅,出来島町43-2,3.9,RC,3,131.4371117,31.903173
NAビル,吉村町上西中甲1387-6,6.5,RC,7,131.442249,31.92034859999999
カームプレイス,吉村町上西中甲1386-8,6.5,RC,5,131.4426,31.9204611
ぐらんしゅうる・Ａ,吉村町上西中甲1382-2,5.2,RC,3,131.4428042,31.9198429
プランドール井之上,吉村町長田甲2374-2,3.3,RC,3,131.4465687,31.9118474
市営住宅一の宮団地1棟,一の宮町30-1,3.2,RC,5,131.4444766,31.90687539999999
県営住宅青葉3棟,吉村町境目甲1488-1,5.7,SRC,7,131.4378099,31.9229657
アメニティ谷口,出来島町111-1,4.5,RC,4,131.435835,31.9033389
県警職員宿舎飛翔独身寮,吉村町下り松甲2461,4.3,RC,4,131.4446919,31.9084728
県警職員宿舎吉村職員宿舎,吉村町西田甲682,5.0,RC,3,131.4434407,31.9213229
県民共済ビル,宮脇町127-1,5.9,RC,5,131.4378926,31.9153264
ユタカビル,稗原町1-1,3.2,RC,4,131.4478914,31.9075716
クリオ90,大王町59,3.4,RC,6,131.4399888,31.9066001
ピーチフローレⅠ,吉村町北中甲1228,5.0,RC,3,131.4465687,31.91714199999999
ピーチフローレⅡ,吉村町北中甲1225,5.0,RC,3,131.4465687,31.91714199999999
ピーチフローレⅢ,吉村町北中甲1234-5,5.0,RC,7,131.4465687,31.91714199999999
ピーチフローレⅤ,吉村町北中甲1237,4.7,RC,3,131.4465687,31.91714199999999
M'ｓフローリッシュ,吉村町南田甲1058-1,5.1,RC,7,131.4521985,31.917852
サンライズ西中,吉村町西中甲1328-1,4.7,RC,3,131.4443791,31.9177155
Ｂrook'sSquare,Ⅱ吉村町下藪甲4353-2,3.6,RC,6,131.4534495,31.9167679
医療法人尚成会近間病院,山崎町965-6,10.0,S,2,131.4587822,31.9472294
ラグゼ一ツ葉,山崎町浜山,6.7,SRC,12,131.4687721,31.9521527
ルミエール吉村Ａ棟,吉村町引土甲624,5.0,RC,4,131.4390613,31.9236465
ルミエール吉村Ｂ棟,吉村町引土甲624,5.0,RC,4,131.4390613,31.9236465
宮崎県水産会館,港2-6,4.8,RC,5,131.4565357,31.9055318
介護付有料老人ホームソフトタウン高洲,高洲町235-3,3.8,RC,3,131.4414218,31.9010204
リバーサイド高洲,高洲町302-4,2.8,RC,5,131.4447319,31.89916259999999
ラーバンハイツ,高洲町228-2,2.7,RC,4,131.4422703,31.9015916
サン・トール,一の宮町56-1,4.0,RC,6,131.446164,31.9072306
ウィークリーマンションサンシーズ,高洲町14-6,2.7,RC,7,131.4496898,31.8993942
公務員住宅潮見住宅（1～3号棟）,潮見町110-1,3.0,RC,5,131.4391893,31.9035281
公務員住宅潮見西住宅,潮見町16-2,3.3,RC,3,131.436925,31.90535899999999
公務員住宅昭和住宅,昭和町1,3.9,RC,5,131.4344364,31.9113443
シティーウイング,高洲町66-6,3.1,RC,7,131.4461846,31.8988001
マンション津守Ⅱ,高洲町138-2,2.4,RC,5,131.4460635,31.9003478
マンション児玉,高洲町133-1,2.7,RC,6,131.4457606,31.8996794
日ノ出マンション,日ノ出町45-1,3.8,RC,8,131.4476048,31.9072636
S・ASAGIRI,昭栄町113,3.2,RC,4,131.4550133,31.9140893
オメガシティー宮崎Ⅰ,高洲町107,2.3,RC,8,131.4473216,31.9000507
エラン宮崎Ⅰ番館,田代町179-1,3.3,RC,8,131.4501042,31.9040684
エラン宮崎Ⅱ番館,田代町179-3,3.3,RC,8,131.4498923,31.9041887
コスタ吉村,吉村町寺ノ下甲2290,4.0,RC,4,131.4478198,31.9137048
マンションリヴレ,高洲町268-10,3.0,SRC,11,131.4427613,31.8996811
マンションセゾン,田代町8,3.9,RC,8,131.4481447,31.9049409
グランドパレス青葉,吉村町北原甲1476-1,5.0,RC,8,131.4409382,31.921138
宮崎県総合自動車運転免許センター,阿波岐原町前浜4276-5,4.4,S,3,131.4615052,31.9307554
㈱マルハン宮崎店立体駐車場,吉村町内柿元甲1066,4.6,RC,3,131.4509475,31.9165831
宮崎県生コンクリート工業組合技術研修センター,新別府町薦藁1948,3.9,RC,2(屋上あり),131.4581785,31.9238529
センチュリーコート8番館,昭栄町127,2.9,RC,8,131.4550133,31.9140893
ラヴィドール,新栄町64,1.4,RC,4,131.4543878,31.9090429
エアフォルクⅢ,新栄町113,1.2,RC,4,131.4543878,31.9090429
昭和町Nビル,昭和町76-2,4.2,RC,5,131.4364485,31.9090249
シャンテ一の宮,一の宮町79,3.6,RC,3,131.4448643,31.9061512
アレグリア,田代町87-1,3.8,RC,8,131.4474062,31.9029056
リーノ壱番館,田代町116-1,3.6,RC,4,131.446456,31.9022316
アミリアコート,吉村町今村甲4188-16,3.6,RC,4,131.4493837,31.9133792
ファミリアOdo,小戸町83-１,2.9,RC,4,131.453863,31.9039815
ウエストコーストⅢ,大王町96,4.3,RC,4,131.4418571,31.907408
コーラルリーフ,中西町137-12、137-14,3.3,RC,3,131.442798,31.9028072
アンシャンテ・S,新栄町63,2.9,RC,8,131.4543878,31.9090429
ヴィラプレポール,昭栄町86-2,3.1,RC,4,131.4550133,31.9140893
ケイアイビル,中西町193-1,3.5,RC,3,131.4455716,31.9041714
ユーミーなでしこA・B,中西町107-1,3.2,RC,3,131.4437164,31.9031696
フジマンション,中西町276,3.1,RC,3,131.4450649,31.9015985
住宅型有料老人ホームいちごの里,新城町44,5.0,RC,4,131.4387268,31.9262411
サンローズ,吉村町北中甲1267-1,4.1,RC,2,131.4465687,31.91714199999999
市営住宅大淀団地1棟,大淀1-1-24,5.5,RC,6,131.4239026,31.9011462
県営住宅源藤5棟,源藤町原田318-1,5.3,RC,5,131.4181198,31.8890395
宿さつま荘,太田3丁目6-9,5.9,RC,3,131.4224444,31.9002343
グリーンハイツ奥野,太田2丁目3-6,6.8,RC,5,131.4219821,31.9018019
藤井第2ビル,太田4丁目1-41,6.5,RC,3,131.4200142,31.8984193
ライフシティ谷川,谷川1丁目4-22,6.1,RC,3,131.4152717,31.9035082
ワコ-ハイツ,太田4丁目3-1,6.4,RC,5,131.420565,31.8974863
長友ビル,太田4丁目2-22,6.9,RC,5,131.419732,31.8975013
第2サンハイツ,太田 4丁目3-30,6.4,RC,3,131.4205403,31.8973105
村上屋ビル,中村東,6.3,RC,4,131.4190366,31.8986256
ビジネスホテル有明,中村東2丁目5-16,6.8,S,3,131.418878,31.8980857
アカネアネックス宮崎,太田3丁目3-10,6.0,RC,3,131.4208159,31.8991831
ＭＴＫＢＬＤ,大淀1丁目5-10,4.5,RC,7,131.4252364,31.9010083
パワーステージ中村,中村東2丁目4-3,6.3,RC,9,131.4186097,31.8988023
ヴェルデクス大淀河畔,福島町3-94-1,11.2,RC,5,131.4057588,31.9076608
公務員団地大塚住宅(1～3棟),大塚町流合5056-1,6.8,RC,5,131.4004312,31.9121547
シャンテ長沼Ⅱ,大塚町竹原2046-1,8.0,RC,5,131.3963395,31.9184385
県営住宅大塚A6棟,大塚町地蔵田4651,8.0,RC,4,131.3938767,31.9096508
県営住宅大塚B4棟,大塚町馬場崎3563,8.4,RC,3,131.3942717,31.912723
県営住宅大塚C6棟,大塚町乱橋4512,10.5,RC,8,131.3920594,31.9061365
サンマンション大塚,大塚町窪田3272,5.8,RC,8,131.396108,31.9119344
あさひ保育園,大塚町八所3606-7,10.0,RC,2,131.3890669,31.9144013
GREAT・S-7,大塚町浜川田4912-1,6.5,RC,4,131.3958741,31.9107328
日高マンション,大塚町窪田3321-4,8.9,S,4,131.3957371,31.913969
おおつかの杜リハビリテーションふれあいセンター,大塚町池ノ内1199,10.9,RC,4,131.393734,31.92353079999999
コアマンション大塚,大塚町正市5590-1,7.1,SRC,11,131.4008034,31.9178687
コアマンション大塚Ⅱ,大塚町水流5188-2,5.8,RC,10,131.4025951,31.9109697
シーサイドエコー,大字田吉字西前島1881-1,2.5,RC,4,131.4202196,31.9077285
松永組運送㈱,大字田吉2478-4,2.7,RC,3,131.4524526,31.88982529999999
宮崎空港ビル株式会社,赤江(宮崎空港内),4.4,SRC,4,131.4416313,31.8728382
セントヒルズマリーナ宮崎壱番館,大字赤江1247,2.9,RC,8,131.4495058,31.8828888
セントヒルズマリーナ宮崎弐番館,大字赤江1369,3.3,RC,8,131.4493879,31.883478
南九州短期大学学生寮,大字田吉6307-1,2.5,RC,4,131.444731,31.8909167
ほんごうマンション,大字本郷南方4016,10.4,RC,4,131.4312615,31.8644061
介護老人保健施設ことぶき苑,大字本郷北方4043-1,16.6,RC,4,131.4258174,31.8651586
サンケイマンション第4ビル,恒久6-3-27,3.5,RC,8,131.4399489,31.8922977
サニーコート,大字本郷北方1183,4.8,RC,3,131.4224789,31.8728378
サニーコートⅡ,大字本郷北方1319-2,4.8,RC,4,131.4349443,31.8858301
ライフピア瑞光苑,大字本郷南方4046-2,4.0,RC,4,131.4327652,31.8621825
パームコートマンション,大字田吉6269-1,3.3,RC,8,131.443051,31.8907293
ハイツひまわり,大字田吉6241-1,3.1,RC,6,131.442606,31.8893012
くどみ保育園,大字郡司分2202-2,4.2,RC,3,131.4332648,31.8549328
シャトレ田吉,城ヶ崎4丁目8-11,4.8,RC,4,131.4337667,31.8951944
シャトレ城ヶ崎,城ヶ崎3丁目16-1,5.2,RC,4,131.4313145,31.8963765
日本アランダム㈱宮崎営業所,恒久南3丁目4-2,3.9,RC,4,131.4299696,31.8910636
メモリースリー,恒久4丁目14-１,4.6,RC,3,131.4335214,31.8947642
コスタ飛江田,大字赤江1556,2.1,RC,3,131.444607,31.8863263
河野内科呼吸器科医院,恒久南3丁目214-10,6.4,RC,3,131.4301788,31.89062659999999
マンションウッド・テック,大字田吉6187-1,3.3,RC,8,131.44031,31.8895523
ラ・フォンテーヌ,城ヶ崎3丁目17-6,5.2,RC,4,131.4316117,31.8966197
ハートピュア宇和田,城ヶ崎4丁目11-7,4.0,RC,3,131.435317,31.8953345
城ヶ崎マンション,恒久4丁目10-1,5.0,RC,3,131.4323023,31.8930875
バグースヒルズ,大字本郷南方4191-1,7.8,RC,3,131.4311232,31.8606979
サンピュアネス,城ヶ崎4丁目6-12,4.5,RC,3,131.432696,31.8958579
押川コーポ,恒久南2丁目14-11,6.3,RC,4,131.4239378,31.8901892
市営住宅飛江田団地16棟,宮崎市大字赤江409,3.6,RC,5,131.4389846,31.8856048
市営住宅立和原団地2棟,宮崎市大字本郷南方2919-1,8.0,RC,4,131.4352634,31.8658447
市営住宅立和原団地2棟,宮崎市大字本郷南方3207,8.0,RC,4,131.4353833,31.8662055
リバーサイドマンション,城ヶ崎4-1-18,3.7,RC,6,131.43504,31.8968501
県営住宅本郷南7棟,宮崎市本郷南方4023,9.3,RC,3,131.431264,31.86357069999999
本山ビル,城ヶ崎2丁目17-5,6.1,RC,5,131.4296325,31.8967078
第3ヤヨイコーポ,恒久南3丁目11-37,4.2,RC,3,131.4261861,31.8903588
社団法人宮崎県トラック協会総合研修会館,恒久1丁目7-21,6.5,RC,2,131.4251683,31.8952426
ドエルクシマ,恒久南4丁目243-1,6.4,RC,4,131.4305285,31.8903101
国富ホーム,大字本郷南方5,4.1,RC,3,131.4342278,31.85639
創価学会宮崎平和会館,城ヶ崎4-1-9,3.6,RC,5,131.4341597,31.897499
リージェントマンション,大字恒久997,6.2,RC,4,131.4268613,31.87882159999999
MAC城ヶ崎コート,恒久6丁目1-8,3.8,RC,8,131.4392094,31.8926123
レ・ビラージュ,大字田吉291-3,5.7,RC,7,131.4288143,31.8822202
グランドパレス城ヶ崎,恒久3丁目2-4,5.2,RC,7,131.4311147,31.8954401
コーポ松田2,恒久南3丁目12-17,4.1,RC,3,131.4276242,31.8898998
Ｃｏｍｏｄｏ,恒久南3丁目7-21,5.0,RC,3,131.426766,31.8914065
JHCマンション,恒久南2丁目9-11,5.5,RC,4,131.4245607,31.8916332
フラット横山,恒久南3丁目10-25,4.8,RC,3,131.4273987,31.8905011
県警職員宿舎恒久南職員住宅,恒久南1丁目13-3,6.3,RC,4,131.4249822,31.8906814
県警職員宿舎恒久待機宿舎,恒久南1丁目13-3,6.3,RC,4,131.4249822,31.8906814
特別養護老人ホーム城ヶ崎小戸の家,城ヶ崎3丁目3-3,4.5,RC,5,131.4325697,31.8979026
ケアヴィレッタナチュらいふ恒久,大字恒久5314-5,7.1,RC,3,131.4122626,31.8907852
クリニックうしたに,大字恒久5065,7.1,RC,3,131.412297,31.89003
クレールマンション,大字恒久4301-1,6.0,RC,10,131.4190769,31.8909181
月見ヶ丘教職員住宅,月見ヶ丘4丁目314,25.3,RC,2,131.4180978,31.87869139999999
小川マンションＡ棟,城ヶ崎3丁目14-8,6.0,RC,4,131.4308679,31.8960573
小川マンションＢ棟,城ヶ崎3丁目14-9,6.3,RC,4,131.4309857,31.8963835
パークサイド城ヶ崎,恒久4丁目11-5,4.5,RC,3,131.4326877,31.893872
ナーシェル,城ヶ崎2丁目7-16,6.8,RC,4,131.4286767,31.8978011
蛎原避難タワー,郡司分字内蛎原甲5227-36,1.9,RC,4,131.4479953,31.8459823
独立行政法人国立病院機構宮崎東病院,大字田吉4374-1,7.6,RC,6,131.4452526,31.8697948
宮交シティ,大淀4丁目6-28,6.5,RC,5,131.4193441,31.8943678
宮崎県総合運動公園サンマリンスタジアム,大字熊野1443-12,3.2,RC,2,131.4439148,31.8275993
老人保健施設グリーンケア,大字熊野470-2,2.5,RC,3,131.4382175,31.828054
ゴールデンレイク,大字加江田4514-2,22.0,RC,3,131.4449204,31.8115513
ホワイトスクエア,大字熊野10363,4.0,RC,3,131.4387201,31.8310213
ジョイス,大字熊野9932-1,3.0,RC,3,131.4321279,31.8350751
ガレージⅡ,大字熊野498-1,3.0,RC,4,131.4373496,31.8294226
ドムス繪所,大字熊野501-1,3.0,RC,4,131.4371572,31.8295247
サンライズＭＩＣＨＩ,大字熊野9964-3,3.0,RC,3,131.4311813,31.8337246
サンコーポくんぱち,大字熊野642-1,3.0,RC,3,131.4361362,31.8305253
ベルハイムエルステ,大字熊野487-1,3.0,RC,7,131.4384913,31.82906569999999
ドムス澤田Ⅰ,大字熊野607,3.0,RC,4,131.4342301,31.827889
ドムス澤田Ⅱ,大字熊野607,3.0,RC,4,131.4342301,31.827889
島山地区複合型津波避難施設,大字熊野1374-43,2.3,RC,3,131.4441934,31.8226075
あおしま優亜館（新館）,大字加江田4910,6.2,RC,3,131.4545258,31.8128718
青島グランドホテル,青島1-16-64,5.1,SRC,7,131.4662847,31.803574
青島シルバー苑、青島クリニック,青島4-6-3,4.8,SRC,4,131.4694861,31.795707
グランマリン,青島西1-6-15,6.7,RC,8,131.4587284,31.80452
