施設種別,建物名,住所,想定収容人数,MHトイレ基数,lng,lat
指定避難所兼指定緊急避難場所,宮崎市立宮崎小学校,宮崎市旭1-4-1,448,0,131.425791,31.909459
指定緊急避難場所（津波避難ビル）,宮崎地方裁判所（南棟）,宮崎市旭2-3-13,141,0,131.428147,31.909808
指定避難所兼指定緊急避難場所,日本郵便株式会社宮崎中央郵便局,宮崎市高千穂通1-1-34,100,0,131.42573,31.916892
指定避難所兼指定緊急避難場所,宮崎市役所（会議室棟）,宮崎市橘通西1-1-1,87,0,131.41869,31.908645
指定避難所兼指定緊急避難場所,宮崎市立江平小学校,宮崎市橘通西5-6-37,448,0,131.423991,31.923787
指定避難所兼指定緊急避難場所,宮崎市立宮崎東中学校,宮崎市江平東2-7-9,616,7,131.428721,31.930718
指定避難所兼指定緊急避難場所,宮崎市男女共同参画センター,宮崎市宮崎駅東3-6-7,151,0,131.435266,31.919757
指定避難所兼指定緊急避難場所,九州森林管理局宮崎森林管理署,宮崎市柳丸町388-5,39,0,131.432256,31.924271
指定避難所兼指定緊急避難場所,宮崎市宮崎東地区交流センター,宮崎市下原町332-5,335,0,131.432167,31.923569
指定避難所兼指定緊急避難場所,学校法人日向学院,宮崎市大和町110,2108,0,131.436641,31.917928
指定避難所兼指定緊急避難場所,宮崎県体育館,宮崎市宮崎駅東2-4-1,1744,0,131.434717,31.917371
指定避難所兼指定緊急避難場所,宮崎県医師会館,宮崎市和知川原1-101,131,0,131.414208,31.925182
指定避難所兼指定緊急避難場所,宮崎県立宮崎商業高等学校,宮崎市和知川原3-24,690,0,131.40822,31.923963
指定避難所兼指定緊急避難場所,宮崎市立西池小学校,宮崎市西池町12-49,455,0,131.419899,31.923223
指定避難所兼指定緊急避難場所,宮崎市立宮崎西中学校,宮崎市原町1-4,521,0,131.422704,31.92258
指定避難所兼指定緊急避難場所,宮崎県福祉総合センター,宮崎市原町2-22,309,0,131.421848,31.922838
指定避難所兼指定緊急避難場所,宮崎大学教育学部附属小学校,宮崎市花殿町7-49,432,0,131.416749,31.92483
指定避難所兼指定緊急避難場所,宮崎大学教育学部附属中学校,宮崎市花殿町7-67,624,0,131.417931,31.924874
指定避難所兼指定緊急避難場所,宮崎公立大学（体育館）,宮崎市船塚1-1-2(体育館：船塚2-184),924,10,131.418328,31.926253
指定避難所兼指定緊急避難場所,南九州大学・南九州短期大学,宮崎市霧島5-1-2,1126,0,131.41563,31.93662
指定避難所兼指定緊急避難場所,宮崎市旧中部事務所,宮崎市祇園2-135,61,0,131.410882,31.932539
指定避難所,宮崎市立小戸保育所,宮崎市鶴島3-93,60,0,131.408699,31.913088
指定避難所兼指定緊急避難場所,宮崎市立小戸小学校,宮崎市大工1-5-43,598,6,131.414401,31.917435
指定避難所兼指定緊急避難場所,国土交通省宮崎河川国道事務所,宮崎市大工2-39,80,0,131.410343,31.916156
指定避難所兼指定緊急避難場所,南方保育園,宮崎市南方町御供田1191,80,0,131.418915,31.961322
指定避難所兼指定緊急避難場所,平和が丘自治公民館,宮崎市平和が丘西町15-1,84,0,131.414253,31.957349
指定避難所兼指定緊急避難場所,宮崎市平和が丘児童センター,宮崎市池内町陣ノ平594-5,93,0,131.416117,31.953895
指定避難所兼指定緊急避難場所,宮崎市立池内小学校,宮崎市池内町榎迫508,341,0,131.417022,31.956112
指定避難所兼指定緊急避難場所,宮崎市立大宮小学校,宮崎市下北方町新地849,564,0,131.427679,31.943682
指定避難所兼指定緊急避難場所,宮崎市立大宮中学校,宮崎市下北方町5945,603,7,131.418955,31.942243
指定避難所兼指定緊急避難場所,宮崎市大宮公民館,宮崎市下北方町下郷6101,280,0,131.417597,31.945126
指定避難所兼指定緊急避難場所,宮崎市北部老人福祉センター,宮崎市神宮東1-2-27,418,0,131.426046,31.932151
