建物名,住所,lng,lat
宮崎市加納地区交流センター,宮崎県宮崎市清武町加納乙1047,131.39368738558,31.8753724966
株式会社　共立電機製作所,宮崎県宮崎市高岡町高浜1495-55,131.29635758969,31.942435406001
宮崎市佐土原地域福祉センター,宮崎県宮崎市佐土原町東上那珂12948-1,131.4340921517,32.021229143179
宮崎県自治会館,宮崎県宮崎市宮田町1-8号,131.42471715854,31.911267790025
古城老人いこいの家,宮崎県宮崎市古城町孫太郎2494,131.37461600436,31.886037883752
金吹山自治公民館,宮崎県宮崎市大字芳士字大原3701-53,131.45859139413,31.967634487747
富高小学校グラウンド,宮崎県日向市大字富高6520,131.623987,32.429126
古城ヶ丘慰霊塔広場,宮崎県日向市大字富高6733-1,131.62243,32.430358
若宮近隣公園,宮崎県日向市大字富高6982,131.62241,32.426258
日向中学校グラウンド,宮崎県日向市大字富高733,131.615191,32.421858
富高学園グリーンスクール,宮崎県日向市大字富高751-1,131.615508,32.424433
富高保育園グラウンド,宮崎県日向市大字富高3534,131.607759,32.434538
塩見小学校グラウンド,宮崎県日向市大字塩見2678,131.601701,32.418216
塩見農村公園,宮崎県日向市大字塩見4605,131.602803,32.414035
櫛の山公園,宮崎県日向市大字日知屋1400-78,131.644108,32.413959
本善寺,宮崎県日向市大字日知屋1379-1,131.642708,32.417659
旧第一糖業社宅前広場,宮崎県日向市大字日知屋2251-2,131.654533,32.421606
大御神社上（路上）,宮崎県日向市大字日知屋53,131.648633,32.411343
大王谷運動公園陸上競技場,宮崎県日向市大字日知屋12106,131.635841,32.445427
大王谷運動公園野球場,宮崎県日向市大字日知屋12106,131.637177,32.44387
大王谷学園初等部グラウンド,宮崎県日向市大字日知屋12105-1,131.635063,32.438555
亀崎近隣公園,宮崎県日向市亀崎3-16,131.631725,32.434406
幡浦公園,宮崎県日向市大字日知屋5770-1,131.653736,32.431508
幡浦・愛宕神社,宮崎県日向市大字日知屋5484,131.655469,32.431164
御鉾ヶ浦公園,宮崎県日向市大字細島93-1,131.674387,32.422342
朝日公園,宮崎県日向市大字細島123-1,131.670198,32.428169
鉾島神社,宮崎県日向市大字細島330,131.667257,32.425855
観音寺,宮崎県日向市大字細島354,131.665487,32.426183
八坂神社,宮崎県日向市大字細島424,131.664026,32.424803
官軍墓地駐車場,宮崎県日向市大字細島515,131.662494,32.425628
細島小学校上車回転場,宮崎県日向市大字細島2437,131.659042,32.423891
お大師さん上（路上）,宮崎県日向市大字日知屋2366,131.65487,32.422152
日向高等学校グラウンド,宮崎県日向市大字財光寺6265,131.616464,32.410833
定善寺,宮崎県日向市大字財光寺7295,131.624859,32.414153
本光寺,宮崎県日向市大字財光寺7133,131.62565,32.412939
平岩小中学校グラウンド,宮崎県日向市大字平岩33-3,131.633656,32.372756
