施設名,数,lng,lat
宮崎市立宮崎東中学校,7,131.4286822,31.9307124
宮崎公立大学（体育館）,10,131.4180978,31.9293026
宮崎市立小戸小学校,6,131.414525,31.9174456
宮崎市立大宮中学校,7,131.4189429,31.9422685
宮崎市立東大宮小学校,5,131.4355215,31.9433175
宮崎市総合体育館,51,131.4353061,31.9145884
宮崎市立宮崎中学校,6,131.4338016,31.9073995
宮崎市立檍中学校,6,131.4442606,31.9260008
宮崎市立大淀中学校,7,131.4143117,31.9014872
宮崎市立大塚中学校,6,131.3894751,31.9198899
宮崎市立宮崎西小学校,6,131.3843705,31.9149462
宮崎市立生目台中学校,6,131.3799087,31.9040889
宮崎市立小松台小学校,6,131.3938155,31.9329522
宮崎市立赤江小学校,5,131.4300276,31.8883533
宮崎市立恒久小学校,5,131.4265987,31.8952106
宮崎市立赤江東中学校,6,131.4327231,31.8889187
宮崎市立赤江中学校,5,131.4199754,31.8808916
宮崎市立木花中学校,6,131.4274172,31.8312888
宮崎市立青島中学校,5,131.4691735,31.7865525
宮崎市立住吉中学校,7,131.4494244,31.9888954
宮崎市立生目中学校,7,131.3812118,31.9314419
宮崎市立宮崎北中学校,7,131.377204,31.9625159
宮崎市佐土原体育館,13,131.4731947,32.0248477
宮崎市立広瀬中学校,7,131.4750421,32.0175556
宮崎市立田野小学校,4,131.3017061,31.8373488
宮崎市高岡総合支所庁舎,6,131.2971542,31.9567744
宮崎市立高岡中学校,6,131.2998962,31.962206
宮崎市立加納小学校,5,131.3904146,31.86916089999999
